,Angles,Phase,Score
38,"[16, 63, 69, 0, 173, 7, 180, 176]",,
39,"[16, 61, 69, 0, 173, 7, 180, 176]",,
40,"[16, 53, 63, 0, 173, 7, 180, 176]",,
41,"[17, 47, 57, 0, 173, 8, 180, 176]",,
42,"[17, 43, 53, 0, 173, 8, 180, 176]",,
43,"[17, 40, 51, 0, 173, 8, 180, 176]",,
44,"[16, 36, 50, 0, 173, 8, 180, 176]",,
45,"[16, 31, 47, 0, 173, 8, 180, 176]",,
46,"[16, 28, 43, 0, 173, 8, 180, 176]",,
47,"[16, 26, 42, 0, 173, 8, 180, 176]",,
48,"[16, 25, 40, 0, 174, 8, 180, 176]",,
49,"[15, 23, 39, 0, 174, 8, 180, 176]",,
50,"[15, 20, 37, 0, 174, 8, 180, 176]",,
51,"[15, 19, 36, 0, 174, 7, 180, 176]",,
52,"[15, 18, 34, 0, 174, 6, 180, 177]",,
53,"[14, 17, 32, 0, 175, 6, 180, 178]",,
54,"[13, 16, 29, 0, 175, 6, 180, 178]",,
55,"[13, 15, 27, 0, 175, 6, 180, 175]",,
56,"[13, 15, 26, 0, 175, 5, 180, 175]",,
57,"[12, 14, 25, 0, 175, 5, 180, 174]",,
58,"[12, 14, 24, 0, 175, 5, 180, 175]",,
59,"[12, 13, 22, 0, 175, 5, 180, 174]",,
60,"[12, 12, 21, 0, 175, 5, 180, 174]",,
61,"[12, 12, 19, 0, 175, 6, 180, 174]",,
62,"[11, 12, 17, 0, 175, 6, 179, 177]",,
63,"[11, 12, 16, 0, 176, 6, 179, 177]",,
64,"[11, 12, 16, 0, 176, 6, 179, 179]",,
65,"[11, 12, 16, 0, 176, 6, 179, 180]",,
66,"[11, 12, 16, 0, 175, 6, 179, 180]",,
67,"[11, 12, 16, 0, 175, 6, 179, 179]",,
68,"[11, 12, 16, 0, 175, 7, 179, 180]",,
69,"[11, 11, 16, 0, 175, 7, 179, 179]",,
70,"[11, 11, 16, 0, 175, 7, 179, 179]",,
71,"[11, 11, 17, 0, 175, 7, 179, 179]",,
72,"[11, 11, 17, 0, 175, 7, 179, 180]",,
73,"[11, 11, 17, 0, 175, 7, 179, 179]",,
74,"[11, 11, 17, 0, 175, 7, 178, 178]",,
75,"[11, 11, 19, 0, 175, 7, 179, 177]",,
76,"[12, 11, 21, 0, 175, 6, 179, 175]",,
77,"[12, 12, 25, 0, 175, 6, 179, 175]",,
78,"[13, 13, 27, 0, 175, 6, 179, 174]",,
79,"[13, 14, 31, 0, 174, 6, 179, 173]",,
80,"[14, 16, 38, 0, 174, 6, 179, 174]",,
81,"[15, 19, 40, 0, 174, 6, 179, 174]",,
82,"[15, 22, 43, 0, 174, 6, 179, 178]",,
83,"[16, 26, 46, 0, 174, 6, 179, 180]",,
84,"[16, 35, 50, 0, 173, 7, 180, 179]",,
85,"[16, 39, 53, 0, 173, 7, 180, 177]",,
86,"[17, 45, 57, 0, 173, 7, 180, 177]",,
87,"[16, 50, 60, 0, 173, 7, 180, 177]",,
88,"[16, 54, 65, 0, 173, 7, 180, 177]",,
89,"[17, 60, 71, 0, 173, 7, 180, 177]",,
90,"[16, 67, 75, 0, 174, 7, 180, 177]",,
91,"[16, 71, 78, 0, 174, 7, 180, 177]",,
92,"[16, 69, 82, 0, 174, 7, 179, 177]",,
93,"[16, 72, 87, 0, 174, 7, 179, 177]",,
94,"[16, 75, 94, 0, 174, 7, 179, 176]",,
95,"[16, 80, 98, 0, 174, 7, 179, 176]",,
96,"[16, 100, 101, 0, 174, 7, 179, 176]",,
97,"[16, 134, 106, 0, 174, 7, 179, 176]",,
98,"[17, 140, 111, 0, 174, 8, 179, 176]",,
99,"[17, 147, 115, 0, 174, 8, 179, 177]",,
100,"[17, 152, 120, 0, 174, 8, 179, 177]",,
101,"[17, 150, 124, 0, 174, 8, 179, 177]",,
102,"[17, 152, 130, 0, 174, 8, 179, 177]",,
103,"[17, 156, 134, 0, 174, 8, 179, 178]",,
104,"[17, 157, 137, 0, 174, 8, 179, 177]",,
105,"[17, 158, 142, 0, 174, 8, 179, 177]",,
106,"[17, 160, 145, 0, 174, 8, 179, 177]",,
107,"[17, 160, 149, 0, 174, 8, 180, 178]",,
108,"[17, 161, 152, 0, 174, 8, 180, 177]",,
109,"[16, 162, 154, 0, 174, 8, 180, 177]",,
110,"[16, 163, 156, 0, 174, 8, 180, 177]",,
111,"[16, 164, 157, 0, 174, 8, 179, 177]",,
112,"[16, 166, 159, 0, 174, 8, 179, 177]",,
113,"[16, 167, 160, 0, 174, 7, 179, 177]",,
114,"[16, 167, 161, 0, 174, 7, 179, 177]",,
115,"[16, 167, 162, 0, 174, 7, 179, 177]",,
116,"[15, 168, 164, 0, 174, 7, 180, 177]",,
117,"[15, 169, 166, 0, 174, 7, 179, 177]",,
118,"[15, 171, 166, 0, 174, 8, 179, 177]",,
119,"[15, 173, 167, 0, 174, 8, 179, 177]",,
120,"[15, 174, 168, 0, 174, 8, 179, 177]",,
121,"[15, 175, 168, 0, 175, 8, 179, 179]",,
122,"[15, 177, 169, 0, 175, 8, 179, 180]",,
123,"[15, 177, 169, 0, 175, 7, 180, 178]",,
124,"[15, 178, 169, 0, 179, 6, 180, 152]",,
125,"[15, 178, 170, 0, 180, 6, 180, 154]",,
126,"[15, 179, 170, 0, 178, 5, 180, 146]",,
127,"[16, 180, 171, 0, 180, 5, 180, 152]",,
128,"[16, 179, 171, 0, 176, 5, 179, 171]",,
129,"[15, 178, 171, 0, 174, 7, 179, 180]",,
130,"[15, 178, 172, 0, 174, 8, 178, 178]",,
131,"[15, 177, 172, 0, 174, 8, 178, 177]",,
132,"[15, 177, 172, 0, 174, 8, 178, 177]",,
133,"[15, 177, 173, 0, 174, 8, 178, 178]",,
134,"[15, 177, 173, 0, 174, 8, 178, 179]",,
135,"[15, 177, 173, 0, 174, 8, 178, 179]",,
136,"[15, 177, 173, 0, 174, 8, 178, 179]",,
137,"[15, 178, 173, 0, 174, 8, 178, 178]",,
138,"[15, 178, 173, 0, 174, 8, 178, 178]",,
139,"[15, 178, 173, 0, 174, 8, 178, 178]",,
140,"[15, 179, 173, 0, 175, 8, 178, 180]",,
141,"[15, 179, 173, 0, 175, 8, 178, 180]",,
142,"[15, 179, 173, 0, 175, 8, 179, 178]",,
143,"[15, 180, 173, 0, 175, 8, 178, 178]",,
144,"[15, 180, 172, 0, 175, 8, 178, 180]",,
145,"[15, 179, 172, 0, 174, 8, 177, 178]",,
146,"[15, 178, 170, 0, 174, 8, 177, 178]",,
147,"[15, 176, 168, 0, 174, 8, 177, 177]",,
148,"[15, 174, 165, 0, 174, 8, 177, 177]",,
149,"[15, 172, 164, 0, 175, 8, 178, 177]",,
150,"[15, 169, 162, 0, 176, 8, 179, 177]",,
151,"[15, 166, 159, 0, 176, 8, 179, 178]",,
152,"[15, 164, 156, 0, 177, 8, 180, 178]",,
153,"[15, 162, 153, 0, 177, 8, 180, 177]",,
154,"[15, 159, 147, 0, 177, 8, 180, 177]",,
155,"[14, 156, 140, 0, 177, 8, 180, 177]",,
156,"[14, 153, 135, 0, 177, 8, 180, 177]",,
157,"[14, 149, 129, 0, 177, 8, 180, 177]",,
158,"[14, 148, 124, 0, 177, 8, 180, 178]",,
159,"[15, 148, 121, 0, 176, 8, 179, 178]",,
160,"[15, 146, 113, 0, 176, 8, 180, 178]",,
161,"[16, 132, 104, 0, 175, 8, 180, 178]",,
162,"[16, 108, 99, 0, 175, 8, 180, 178]",,
163,"[16, 82, 93, 0, 174, 7, 180, 178]",,
164,"[16, 60, 84, 0, 174, 6, 180, 178]",,
165,"[16, 52, 77, 0, 174, 6, 180, 179]",,
166,"[16, 64, 71, 0, 174, 6, 180, 179]",,
167,"[16, 61, 68, 0, 174, 6, 180, 178]",,
168,"[16, 57, 62, 0, 173, 6, 180, 178]",,
169,"[16, 53, 57, 0, 173, 6, 180, 180]",,
170,"[16, 44, 54, 0, 173, 6, 180, 179]",,
171,"[16, 37, 51, 0, 173, 6, 180, 179]",,
172,"[15, 30, 47, 0, 174, 6, 180, 179]",,
173,"[15, 28, 44, 0, 174, 6, 180, 179]",,
174,"[15, 25, 42, 0, 174, 6, 180, 179]",,
175,"[14, 22, 39, 0, 174, 6, 180, 179]",,
176,"[13, 18, 36, 0, 175, 6, 180, 180]",,
177,"[14, 16, 33, 0, 175, 5, 180, 177]",,
178,"[14, 15, 30, 0, 175, 5, 180, 176]",,
179,"[12, 15, 27, 0, 175, 5, 180, 176]",,
180,"[12, 14, 25, 0, 175, 5, 180, 176]",,
181,"[11, 13, 24, 0, 175, 6, 180, 175]",,
182,"[11, 12, 23, 0, 176, 6, 180, 174]",,
183,"[10, 11, 21, 0, 176, 6, 180, 175]",,
184,"[10, 10, 20, 0, 176, 6, 180, 175]",,
185,"[9, 9, 18, 0, 176, 6, 180, 177]",,
186,"[9, 9, 18, 0, 176, 6, 180, 176]",,
187,"[9, 8, 18, 0, 176, 6, 180, 177]",,
188,"[10, 7, 18, 0, 176, 6, 180, 177]",,
189,"[10, 6, 18, 0, 176, 6, 180, 180]",,
190,"[10, 6, 18, 0, 176, 6, 180, 179]",,
191,"[10, 6, 18, 0, 176, 6, 180, 180]",,
192,"[10, 6, 18, 0, 176, 6, 180, 180]",,
193,"[10, 6, 18, 0, 176, 6, 180, 179]",,
194,"[10, 6, 18, 0, 176, 6, 180, 179]",,
195,"[10, 7, 18, 0, 176, 6, 180, 180]",,
196,"[10, 7, 18, 0, 176, 6, 180, 179]",,
197,"[10, 7, 20, 0, 176, 6, 180, 179]",,
198,"[10, 9, 22, 0, 176, 7, 180, 178]",,
199,"[11, 11, 25, 0, 175, 6, 180, 178]",,
200,"[11, 12, 31, 0, 175, 6, 180, 178]",,
201,"[12, 14, 35, 0, 175, 5, 180, 178]",,
202,"[12, 17, 38, 0, 175, 5, 180, 178]",,
203,"[13, 19, 42, 0, 175, 5, 180, 178]",,
204,"[13, 25, 46, 0, 175, 5, 180, 178]",,
205,"[14, 32, 50, 0, 174, 6, 180, 180]",,
206,"[15, 39, 53, 0, 174, 6, 180, 179]",,
207,"[16, 51, 58, 0, 173, 6, 180, 180]",,
208,"[16, 60, 61, 0, 173, 6, 180, 179]",,
209,"[17, 70, 67, 0, 173, 6, 179, 179]",,
210,"[17, 77, 72, 0, 173, 7, 179, 178]",,
211,"[17, 80, 77, 0, 173, 7, 180, 178]",,
212,"[17, 83, 80, 0, 173, 7, 180, 177]",,
213,"[17, 93, 88, 0, 173, 7, 180, 177]",,
214,"[17, 91, 94, 0, 173, 7, 180, 177]",,
215,"[17, 107, 98, 0, 173, 7, 180, 177]",,
216,"[17, 149, 102, 0, 173, 7, 180, 177]",,
217,"[17, 147, 110, 0, 173, 7, 180, 177]",,
218,"[17, 149, 115, 0, 173, 7, 180, 178]",,
219,"[17, 150, 120, 0, 174, 7, 180, 179]",,
220,"[17, 150, 125, 0, 174, 7, 180, 178]",,
221,"[16, 152, 130, 0, 174, 7, 180, 178]",,
222,"[16, 156, 135, 0, 174, 7, 180, 178]",,
223,"[16, 157, 138, 0, 174, 7, 180, 177]",,
224,"[16, 157, 141, 0, 174, 7, 179, 177]",,
225,"[16, 159, 146, 0, 174, 8, 179, 177]",,
226,"[16, 160, 149, 0, 174, 8, 179, 177]",,
227,"[16, 161, 152, 0, 175, 8, 179, 177]",,
228,"[16, 162, 154, 0, 174, 8, 179, 177]",,
229,"[16, 163, 155, 0, 174, 8, 179, 178]",,
230,"[16, 164, 156, 0, 174, 7, 179, 177]",,
231,"[16, 165, 158, 0, 175, 6, 179, 180]",,
232,"[16, 166, 159, 0, 175, 6, 179, 179]",,
233,"[16, 168, 162, 0, 175, 6, 179, 180]",,
234,"[16, 169, 164, 0, 175, 5, 179, 179]",,
235,"[15, 170, 166, 0, 175, 5, 179, 178]",,
236,"[15, 172, 167, 0, 175, 5, 179, 178]",,
237,"[15, 174, 168, 0, 176, 6, 180, 177]",,
238,"[15, 176, 168, 0, 177, 6, 180, 171]",,
239,"[15, 177, 169, 0, 177, 6, 180, 169]",,
240,"[15, 178, 170, 0, 177, 7, 179, 172]",,
241,"[15, 179, 170, 0, 177, 7, 179, 173]",,
242,"[15, 180, 171, 0, 176, 7, 179, 174]",,
243,"[14, 180, 171, 0, 176, 8, 179, 177]",,
244,"[14, 180, 172, 0, 176, 8, 179, 178]",,
245,"[14, 180, 172, 0, 175, 8, 179, 179]",,
246,"[14, 180, 173, 0, 175, 8, 178, 180]",,
247,"[14, 179, 173, 0, 175, 8, 178, 180]",,
248,"[14, 179, 173, 0, 175, 8, 178, 180]",,
249,"[14, 179, 173, 0, 175, 8, 178, 180]",,
250,"[14, 179, 173, 0, 174, 8, 177, 180]",,
251,"[14, 179, 173, 0, 174, 8, 177, 179]",,
252,"[14, 179, 173, 0, 174, 8, 177, 180]",,
