,Angles,Phase,Score
0,"[17, 180, 173, 0, 172, 8, 176, 178]",,
1,"[16, 180, 173, 0, 173, 8, 177, 178]",,
2,"[16, 180, 174, 0, 173, 8, 178, 178]",,
3,"[16, 180, 174, 0, 173, 8, 178, 178]",,
4,"[16, 180, 175, 0, 173, 8, 178, 178]",,
5,"[16, 180, 175, 0, 173, 8, 178, 178]",,
6,"[16, 179, 175, 0, 173, 8, 178, 178]",,
7,"[16, 179, 175, 0, 173, 8, 178, 178]",,
8,"[16, 179, 175, 0, 173, 8, 178, 178]",,
9,"[16, 179, 175, 0, 173, 9, 178, 178]",,
10,"[16, 179, 174, 0, 173, 9, 178, 178]",,
11,"[16, 179, 174, 0, 173, 8, 179, 178]",,
12,"[16, 179, 174, 0, 173, 8, 179, 178]",,
13,"[16, 179, 172, 0, 173, 8, 179, 178]",,
14,"[16, 179, 172, 0, 173, 8, 179, 178]",,
15,"[16, 178, 170, 0, 172, 8, 179, 177]",,
16,"[17, 177, 169, 0, 172, 8, 179, 178]",,
17,"[17, 175, 168, 0, 173, 8, 179, 178]",,
18,"[17, 174, 166, 0, 173, 8, 180, 178]",,
19,"[16, 171, 164, 0, 175, 9, 179, 178]",,
20,"[17, 168, 161, 0, 175, 8, 179, 179]",,
21,"[17, 165, 158, 0, 175, 8, 178, 179]",,
22,"[17, 164, 155, 0, 175, 8, 179, 179]",,
23,"[17, 160, 149, 0, 176, 8, 179, 180]",,
24,"[17, 156, 145, 0, 176, 8, 179, 179]",,
25,"[17, 152, 141, 0, 176, 8, 179, 179]",,
26,"[17, 150, 136, 0, 176, 8, 179, 180]",,
27,"[17, 147, 133, 0, 176, 8, 179, 180]",,
28,"[17, 147, 129, 0, 176, 8, 179, 180]",,
29,"[18, 146, 124, 0, 175, 8, 179, 179]",,
30,"[17, 155, 121, 0, 175, 8, 180, 179]",,
31,"[17, 157, 112, 0, 174, 8, 180, 179]",,
32,"[17, 170, 105, 0, 174, 8, 180, 178]",,
33,"[16, 164, 97, 0, 173, 7, 180, 177]",,
34,"[16, 133, 92, 0, 173, 8, 180, 177]",,
35,"[16, 97, 87, 0, 173, 7, 180, 177]",,
36,"[16, 86, 79, 0, 173, 7, 180, 177]",,
37,"[16, 75, 74, 0, 173, 7, 180, 177]",,
