,Angles,Phase,Score
40,"[46, 29, 15, 0, 180, 13, 123, 176]",,
41,"[46, 31, 15, 0, 179, 10, 174, 178]",,
42,"[42, 36, 19, 0, 180, 11, 178, 179]",,
43,"[42, 42, 19, 0, 180, 11, 180, 180]",,
44,"[39, 64, 26, 0, 180, 11, 180, 179]",,
45,"[36, 129, 30, 0, 180, 12, 179, 179]",,
46,"[32, 174, 41, 0, 180, 12, 178, 179]",,
47,"[27, 170, 74, 0, 180, 12, 177, 179]",,
48,"[26, 166, 95, 0, 180, 13, 177, 179]",,
49,"[22, 170, 116, 0, 180, 13, 177, 179]",,
50,"[19, 172, 134, 0, 180, 13, 177, 179]",,
51,"[17, 171, 137, 0, 180, 13, 177, 179]",,
52,"[12, 173, 151, 0, 180, 13, 177, 178]",,
53,"[8, 177, 167, 0, 180, 13, 178, 179]",,
54,"[6, 180, 170, 0, 180, 13, 178, 179]",,
55,"[4, 179, 170, 0, 180, 13, 177, 179]",,
56,"[3, 177, 172, 0, 179, 13, 177, 180]",,
57,"[3, 178, 174, 0, 180, 13, 177, 180]",,
58,"[2, 178, 175, 0, 180, 13, 177, 180]",,
59,"[2, 179, 175, 0, 180, 12, 177, 180]",,
60,"[2, 180, 176, 0, 180, 13, 177, 180]",,
61,"[2, 180, 177, 0, 180, 13, 178, 179]",,
62,"[2, 179, 178, 0, 180, 13, 178, 178]",,
63,"[2, 179, 178, 0, 180, 12, 179, 178]",,
64,"[1, 179, 179, 0, 180, 11, 178, 178]",,
65,"[1, 179, 179, 0, 180, 11, 178, 178]",,
66,"[1, 179, 180, 0, 180, 11, 179, 178]",,
67,"[0, 178, 179, 0, 180, 11, 179, 178]",,
68,"[0, 178, 179, 0, 179, 11, 179, 179]",,
69,"[0, 178, 179, 0, 179, 12, 178, 180]",,
70,"[2, 178, 179, 0, 179, 12, 177, 180]",,
71,"[3, 178, 179, 0, 179, 12, 177, 179]",,
72,"[4, 177, 179, 0, 179, 12, 178, 179]",,
73,"[5, 178, 179, 0, 179, 12, 177, 179]",,
74,"[7, 178, 179, 0, 179, 12, 179, 179]",,
75,"[8, 179, 179, 0, 179, 12, 179, 178]",,
76,"[8, 179, 179, 0, 179, 12, 179, 178]",,
77,"[9, 180, 179, 0, 179, 12, 179, 178]",,
78,"[9, 180, 178, 0, 179, 12, 179, 178]",,
79,"[9, 180, 178, 0, 179, 12, 179, 178]",,
80,"[9, 180, 178, 0, 179, 12, 179, 178]",,
81,"[8, 179, 178, 0, 179, 12, 178, 178]",,
82,"[8, 179, 178, 0, 179, 12, 178, 177]",,
83,"[8, 179, 178, 0, 179, 13, 178, 177]",,
84,"[7, 179, 178, 0, 179, 12, 177, 178]",,
85,"[6, 179, 178, 0, 179, 12, 177, 179]",,
86,"[6, 179, 179, 0, 179, 12, 178, 178]",,
87,"[5, 179, 179, 0, 179, 12, 178, 178]",,
88,"[3, 179, 179, 0, 179, 11, 178, 179]",,
89,"[1, 178, 179, 0, 179, 11, 178, 179]",,
90,"[1, 178, 179, 0, 180, 11, 178, 179]",,
91,"[0, 178, 180, 0, 180, 11, 178, 178]",,
92,"[1, 178, 178, 0, 180, 12, 177, 178]",,
93,"[1, 178, 177, 0, 180, 12, 177, 178]",,
94,"[2, 178, 175, 0, 180, 12, 176, 178]",,
95,"[3, 179, 173, 0, 180, 13, 175, 178]",,
96,"[4, 179, 171, 0, 180, 13, 174, 178]",,
97,"[3, 176, 161, 0, 180, 13, 174, 178]",,
98,"[3, 170, 153, 0, 180, 14, 174, 179]",,
99,"[4, 160, 140, 0, 180, 13, 174, 179]",,
100,"[4, 141, 115, 0, 180, 14, 174, 178]",,
101,"[4, 146, 103, 0, 180, 14, 174, 179]",,
102,"[4, 126, 98, 0, 180, 14, 174, 178]",,
103,"[4, 178, 69, 0, 180, 13, 175, 179]",,
104,"[3, 2, 52, 0, 180, 14, 175, 179]",,
105,"[3, 1, 46, 0, 180, 14, 175, 179]",,
106,"[3, 4, 44, 0, 180, 14, 175, 179]",,
107,"[3, 5, 43, 0, 180, 14, 175, 179]",,
108,"[3, 0, 45, 0, 180, 13, 175, 179]",,
109,"[3, 16, 47, 0, 180, 13, 175, 179]",,
110,"[3, 86, 49, 0, 180, 13, 175, 179]",,
111,"[3, 117, 50, 0, 180, 13, 175, 179]",,
112,"[2, 132, 67, 0, 180, 13, 175, 179]",,
113,"[2, 156, 88, 0, 180, 13, 175, 179]",,
114,"[1, 179, 109, 0, 180, 14, 174, 179]",,
115,"[0, 177, 132, 0, 180, 14, 174, 179]",,
116,"[1, 168, 145, 0, 180, 14, 174, 179]",,
117,"[1, 179, 164, 0, 180, 14, 174, 179]",,
118,"[1, 179, 170, 0, 180, 13, 175, 179]",,
119,"[1, 179, 172, 0, 180, 13, 175, 179]",,
120,"[1, 178, 174, 0, 180, 13, 175, 180]",,
121,"[1, 177, 176, 0, 180, 13, 175, 180]",,
122,"[2, 177, 178, 0, 180, 13, 175, 179]",,
123,"[2, 177, 178, 0, 180, 12, 175, 179]",,
124,"[2, 177, 179, 0, 180, 12, 175, 179]",,
125,"[2, 177, 180, 0, 180, 12, 175, 179]",,
126,"[2, 177, 179, 0, 180, 12, 176, 179]",,
127,"[3, 177, 179, 0, 180, 12, 176, 180]",,
128,"[3, 178, 179, 0, 180, 12, 176, 180]",,
129,"[3, 178, 178, 0, 180, 11, 176, 180]",,
130,"[3, 178, 178, 0, 180, 11, 176, 180]",,
131,"[3, 178, 178, 0, 180, 12, 176, 180]",,
132,"[3, 178, 178, 0, 180, 12, 176, 180]",,
133,"[2, 178, 178, 0, 180, 12, 176, 180]",,
134,"[2, 179, 178, 0, 180, 12, 176, 180]",,
135,"[2, 179, 178, 0, 180, 12, 176, 180]",,
136,"[2, 179, 178, 0, 180, 12, 176, 180]",,
137,"[2, 179, 178, 0, 180, 12, 176, 180]",,
138,"[2, 179, 178, 0, 180, 12, 176, 180]",,
139,"[2, 179, 178, 0, 180, 12, 176, 179]",,
140,"[2, 179, 178, 0, 180, 12, 176, 179]",,
141,"[2, 179, 178, 0, 180, 12, 176, 179]",,
142,"[2, 179, 178, 0, 180, 12, 176, 179]",,
143,"[2, 179, 178, 0, 180, 12, 176, 180]",,
144,"[2, 179, 178, 0, 180, 12, 176, 180]",,
145,"[1, 179, 178, 0, 180, 12, 176, 180]",,
146,"[1, 179, 178, 0, 180, 11, 177, 179]",,
147,"[2, 179, 179, 0, 180, 11, 177, 179]",,
148,"[2, 179, 179, 0, 180, 11, 177, 179]",,
149,"[2, 178, 180, 0, 180, 11, 177, 180]",,
150,"[2, 178, 179, 0, 180, 12, 177, 180]",,
151,"[2, 178, 178, 0, 180, 12, 177, 180]",,
152,"[2, 179, 175, 0, 180, 13, 175, 179]",,
153,"[2, 179, 170, 0, 180, 14, 173, 179]",,
154,"[2, 174, 162, 0, 180, 14, 173, 179]",,
155,"[2, 164, 133, 0, 180, 15, 174, 178]",,
156,"[2, 46, 115, 0, 180, 14, 174, 178]",,
157,"[1, 9, 54, 0, 180, 15, 174, 178]",,
158,"[1, 8, 35, 0, 180, 15, 175, 178]",,
159,"[3, 9, 28, 0, 179, 14, 175, 179]",,
160,"[5, 9, 25, 0, 179, 14, 176, 179]",,
161,"[5, 9, 22, 0, 179, 14, 176, 179]",,
162,"[6, 11, 21, 0, 179, 13, 177, 179]",,
163,"[5, 12, 22, 0, 180, 13, 177, 179]",,
164,"[4, 12, 20, 0, 180, 12, 177, 180]",,
165,"[3, 11, 19, 0, 180, 12, 178, 180]",,
166,"[3, 11, 19, 0, 180, 12, 178, 180]",,
167,"[3, 10, 18, 0, 180, 12, 178, 180]",,
168,"[2, 11, 19, 0, 180, 12, 179, 179]",,
169,"[1, 11, 19, 0, 180, 12, 179, 179]",,
170,"[1, 10, 19, 0, 180, 12, 179, 179]",,
171,"[2, 10, 19, 0, 180, 12, 179, 178]",,
172,"[2, 11, 20, 0, 180, 12, 179, 178]",,
173,"[3, 17, 25, 0, 180, 12, 179, 178]",,
174,"[3, 24, 32, 0, 180, 13, 178, 178]",,
175,"[3, 62, 41, 0, 180, 13, 178, 178]",,
176,"[3, 176, 57, 0, 180, 13, 178, 178]",,
177,"[3, 173, 76, 0, 180, 13, 178, 179]",,
178,"[4, 180, 125, 0, 180, 13, 177, 179]",,
179,"[4, 174, 147, 0, 180, 13, 176, 180]",,
180,"[5, 176, 166, 0, 179, 14, 175, 179]",,
181,"[6, 175, 173, 0, 179, 13, 176, 179]",,
182,"[9, 175, 177, 0, 180, 12, 180, 179]",,
183,"[13, 174, 178, 0, 180, 12, 180, 180]",,
184,"[14, 174, 179, 0, 180, 11, 180, 180]",,
185,"[17, 174, 180, 0, 180, 11, 180, 180]",,
186,"[19, 174, 180, 0, 180, 11, 180, 180]",,
187,"[22, 174, 180, 0, 180, 11, 180, 180]",,
188,"[25, 175, 179, 0, 180, 12, 179, 179]",,
189,"[31, 175, 179, 0, 180, 11, 179, 179]",,
190,"[40, 176, 179, 0, 180, 11, 179, 179]",,
191,"[45, 176, 179, 0, 180, 11, 179, 179]",,
192,"[49, 176, 179, 0, 180, 11, 179, 179]",,
193,"[62, 176, 178, 0, 180, 11, 179, 178]",,
194,"[70, 176, 178, 0, 180, 11, 178, 175]",,
195,"[67, 176, 178, 0, 180, 12, 178, 174]",,
196,"[66, 177, 178, 0, 180, 12, 178, 175]",,
197,"[63, 177, 178, 0, 180, 11, 178, 177]",,
198,"[65, 177, 178, 0, 180, 12, 179, 177]",,
199,"[64, 177, 178, 0, 180, 12, 179, 177]",,
200,"[62, 177, 178, 0, 180, 12, 179, 178]",,
201,"[61, 177, 178, 0, 179, 12, 178, 179]",,
202,"[67, 178, 178, 0, 179, 11, 177, 180]",,
203,"[69, 178, 179, 0, 179, 10, 176, 179]",,
204,"[79, 178, 179, 0, 179, 9, 175, 178]",,
205,"[94, 179, 179, 0, 179, 10, 175, 178]",,
206,"[109, 179, 179, 0, 179, 10, 176, 179]",,
207,"[109, 179, 180, 0, 179, 10, 176, 179]",,
208,"[108, 178, 179, 0, 179, 9, 176, 179]",,
209,"[113, 177, 179, 0, 179, 9, 176, 179]",,
210,"[121, 177, 179, 0, 179, 9, 176, 179]",,
211,"[112, 177, 179, 0, 179, 9, 177, 179]",,
212,"[111, 177, 179, 0, 179, 10, 177, 179]",,
213,"[146, 176, 179, 0, 179, 10, 178, 179]",,
214,"[167, 176, 179, 0, 180, 10, 178, 179]",,
