,Angles,Phase,Score
0,"[9, 179, 180, 0, 180, 11, 175, 171]",,
1,"[8, 179, 180, 0, 180, 7, 177, 180]",,
2,"[8, 179, 179, 0, 180, 7, 179, 179]",,
3,"[8, 179, 179, 0, 180, 7, 179, 179]",,
4,"[8, 179, 179, 0, 180, 8, 179, 178]",,
5,"[8, 179, 179, 0, 180, 8, 178, 177]",,
6,"[7, 179, 179, 0, 180, 8, 178, 177]",,
7,"[7, 180, 180, 0, 179, 9, 178, 178]",,
8,"[6, 179, 179, 0, 180, 9, 178, 178]",,
9,"[4, 179, 179, 0, 180, 10, 178, 178]",,
10,"[3, 179, 179, 0, 180, 10, 178, 178]",,
11,"[4, 179, 178, 0, 179, 10, 178, 178]",,
12,"[5, 180, 177, 0, 179, 9, 177, 179]",,
13,"[5, 179, 176, 0, 178, 9, 176, 179]",,
14,"[5, 179, 176, 0, 178, 11, 176, 176]",,
15,"[6, 179, 176, 0, 179, 9, 176, 176]",,
16,"[7, 179, 175, 0, 179, 8, 177, 176]",,
17,"[9, 178, 172, 0, 179, 9, 176, 174]",,
18,"[10, 176, 171, 0, 179, 10, 176, 174]",,
19,"[11, 175, 168, 0, 180, 16, 60, 162]",,
20,"[11, 176, 165, 0, 180, 14, 160, 164]",,
21,"[10, 176, 161, 0, 180, 12, 162, 167]",,
22,"[12, 176, 129, 0, 180, 12, 155, 168]",,
23,"[15, 179, 123, 0, 180, 11, 164, 169]",,
24,"[16, 173, 88, 0, 180, 7, 177, 176]",,
25,"[17, 167, 80, 0, 179, 8, 178, 177]",,
26,"[19, 161, 67, 0, 179, 11, 175, 176]",,
27,"[27, 159, 36, 0, 179, 15, 118, 171]",,
28,"[31, 161, 33, 0, 179, 10, 176, 178]",,
29,"[35, 104, 32, 0, 179, 10, 179, 180]",,
30,"[40, 72, 30, 0, 179, 10, 178, 180]",,
31,"[41, 49, 29, 0, 179, 10, 178, 179]",,
32,"[41, 37, 29, 0, 179, 10, 178, 179]",,
33,"[45, 34, 26, 0, 179, 10, 178, 179]",,
34,"[43, 32, 22, 0, 179, 10, 177, 179]",,
35,"[44, 30, 19, 0, 179, 15, 156, 179]",,
36,"[42, 29, 18, 0, 179, 12, 170, 178]",,
37,"[43, 30, 18, 0, 180, 15, 140, 178]",,
38,"[44, 29, 16, 0, 180, 16, 79, 177]",,
39,"[46, 29, 17, 0, 180, 15, 84, 176]",,
