,Angles,Phase,Score
0,"[15, 180, 180, 0, 175, 6, 180, 176]","Down",100
1,"[15, 180, 179, 0, 175, 6, 179, 177]","Down",100
2,"[15, 180, 178, 0, 176, 6, 179, 178]","Down",100
3,"[15, 180, 178, 0, 175, 6, 179, 178]","Down",100
4,"[15, 180, 178, 0, 175, 6, 179, 178]","Down",100
5,"[16, 180, 178, 0, 175, 6, 179, 178]","Down",100
6,"[16, 180, 178, 0, 175, 6, 179, 178]","Down",100
7,"[16, 180, 178, 0, 175, 6, 179, 178]","Down",100
8,"[16, 180, 178, 0, 175, 6, 179, 178]","Down",100
9,"[16, 179, 178, 0, 175, 6, 179, 178]","Down",100
10,"[16, 178, 178, 0, 175, 6, 179, 178]","Down",100
11,"[16, 176, 177, 0, 175, 6, 179, 178]","Down",100
12,"[16, 174, 177, 0, 175, 6, 179, 178]","Down",100
13,"[16, 172, 176, 0, 175, 6, 180, 178]","Down",100
14,"[16, 170, 174, 0, 176, 6, 179, 177]","Down",100
15,"[16, 169, 173, 0, 176, 6, 179, 177]","Down",100
16,"[16, 167, 172, 0, 176, 5, 178, 177]","Down",100
17,"[17, 165, 171, 0, 175, 5, 179, 177]","Down",100
18,"[17, 164, 169, 0, 175, 5, 179, 176]","Down",100
19,"[17, 162, 167, 0, 175, 5, 179, 177]","Down",100
20,"[17, 160, 164, 0, 176, 5, 179, 177]","Down",100
21,"[17, 158, 161, 0, 175, 5, 179, 177]","Down",100
22,"[17, 157, 157, 0, 175, 5, 179, 176]","Down",100
23,"[18, 155, 154, 0, 175, 5, 179, 176]","Down",100
24,"[18, 152, 151, 0, 175, 6, 179, 176]","Down",100
25,"[18, 148, 147, 0, 175, 5, 179, 176]","Null",100
26,"[18, 142, 140, 0, 175, 5, 179, 176]","Null",100
27,"[18, 139, 136, 0, 175, 5, 179, 176]","Null",100
28,"[18, 138, 131, 0, 175, 5, 179, 176]","Null",100
29,"[18, 137, 128, 0, 175, 5, 179, 176]","Null",100
30,"[18, 134, 121, 0, 175, 5, 179, 176]","Null",100
31,"[18, 130, 114, 0, 175, 5, 179, 176]","Null",100
32,"[18, 135, 106, 0, 175, 5, 179, 176]","Null",100
33,"[18, 134, 97, 0, 175, 5, 179, 176]","Null",100
34,"[18, 133, 91, 0, 174, 5, 179, 176]","Null",100
35,"[18, 145, 85, 0, 174, 5, 179, 176]","Null",100
36,"[18, 114, 79, 0, 174, 5, 179, 175]","Null",100
37,"[17, 95, 74, 0, 174, 5, 179, 175]","Null",100
38,"[17, 48, 71, 0, 174, 5, 179, 175]","Null",100
39,"[17, 43, 68, 0, 174, 5, 179, 175]","Null",100
40,"[16, 54, 64, 0, 175, 5, 179, 175]","Null",100
41,"[16, 48, 58, 0, 175, 5, 179, 175]","Up",100
42,"[16, 45, 56, 0, 175, 5, 179, 175]","Up",100
43,"[15, 42, 51, 0, 175, 5, 179, 175]","Up",100
44,"[15, 38, 47, 0, 175, 5, 179, 175]","Up",100
45,"[15, 33, 44, 0, 175, 5, 179, 175]","Up",100
46,"[16, 32, 41, 0, 175, 5, 179, 175]","Up",100
47,"[16, 27, 37, 0, 175, 5, 179, 175]","Up",100
48,"[16, 24, 35, 0, 175, 5, 179, 176]","Up",100
49,"[15, 23, 34, 0, 175, 5, 179, 176]","Up",100
50,"[16, 22, 33, 0, 174, 5, 179, 176]","Up",100
51,"[15, 20, 31, 0, 174, 5, 179, 176]","Up",100
52,"[15, 19, 29, 0, 174, 5, 179, 176]","Up",100
53,"[15, 18, 27, 0, 175, 5, 179, 176]","Up",100
