,Angles,Phase,Correction
99,"[3, 92, 64, 0, 178, 38, 176, 173]",0,1
100,"[2, 93, 62, 0, 179, 38, 176, 174]",0,1
101,"[1, 96, 57, 0, 179, 38, 176, 173]",0,1
102,"[0, 100, 55, 0, 179, 38, 176, 173]",0,1
103,"[1, 100, 53, 0, 179, 38, 176, 173]",0,1
104,"[2, 101, 51, 0, 179, 38, 176, 174]",0,1
105,"[4, 124, 49, 0, 180, 38, 176, 174]",0,1
106,"[5, 125, 48, 0, 180, 38, 176, 174]",2,1
107,"[6, 108, 45, 0, 180, 38, 176, 174]",2,1
108,"[7, 103, 44, 0, 179, 38, 176, 174]",2,1
109,"[9, 96, 42, 0, 179, 38, 176, 174]",2,1
110,"[10, 95, 41, 0, 178, 38, 176, 174]",2,1
111,"[11, 88, 40, 0, 178, 38, 176, 174]",2,1
112,"[11, 79, 38, 0, 178, 38, 175, 174]",2,1
113,"[13, 70, 36, 0, 178, 38, 176, 174]",2,1
114,"[13, 66, 34, 0, 178, 38, 176, 174]",2,1
115,"[13, 65, 34, 0, 178, 38, 175, 174]",2,1
116,"[13, 63, 33, 0, 177, 38, 175, 174]",2,1
117,"[12, 61, 33, 0, 177, 38, 175, 174]",2,1
118,"[12, 60, 32, 0, 177, 38, 175, 175]",2,1
119,"[12, 59, 32, 0, 177, 38, 175, 175]",2,1
120,"[12, 59, 32, 0, 177, 38, 175, 175]",2,1
121,"[11, 56, 32, 0, 177, 38, 175, 175]",2,1
122,"[10, 55, 32, 0, 177, 38, 175, 175]",2,1
123,"[8, 53, 34, 0, 177, 38, 176, 175]",2,1
124,"[7, 52, 35, 0, 177, 38, 176, 175]",2,1
125,"[6, 52, 36, 0, 177, 38, 176, 175]",2,0
126,"[5, 51, 37, 0, 177, 38, 175, 175]",2,0
127,"[3, 50, 38, 0, 177, 38, 175, 175]",2,0
128,"[1, 50, 40, 0, 177, 38, 175, 175]",2,0
129,"[0, 49, 40, 0, 178, 39, 175, 175]",2,0
