,Angles,Phase,Correction
88,"[43, 175, 180, 0, 148, 3, 153, 163]",,Widen your legs
89,"[43, 175, 180, 0, 149, 3, 153, 164]",,Widen your legs
90,"[44, 175, 180, 0, 150, 4, 154, 165]",,Widen your legs
91,"[44, 175, 179, 0, 151, 3, 154, 165]",,Widen your legs
92,"[44, 175, 179, 0, 151, 3, 155, 166]",,Widen your legs
93,"[45, 175, 179, 0, 152, 3, 156, 166]",,Widen your legs
94,"[45, 175, 179, 0, 152, 3, 157, 167]",,Widen your legs
95,"[46, 175, 179, 0, 153, 3, 157, 168]",,Widen your legs
96,"[47, 175, 179, 0, 153, 3, 158, 169]",,Widen your legs
97,"[47, 175, 180, 0, 153, 3, 158, 169]",,Widen your legs
98,"[47, 175, 180, 0, 154, 4, 158, 170]",,Widen your legs
99,"[47, 175, 180, 0, 154, 4, 159, 170]",,Widen your legs
100,"[47, 175, 180, 0, 154, 4, 159, 170]",,Widen your legs
101,"[47, 175, 180, 0, 154, 4, 159, 170]",,Widen your legs
102,"[47, 174, 180, 0, 153, 4, 159, 170]",,Widen your legs
103,"[47, 174, 180, 0, 154, 4, 159, 171]",,Widen your legs
104,"[47, 174, 180, 0, 154, 4, 159, 171]",,Widen your legs
105,"[47, 174, 180, 0, 154, 4, 159, 171]",,Widen your legs
106,"[47, 174, 180, 0, 154, 4, 159, 171]",,Widen your legs
107,"[47, 175, 180, 0, 154, 4, 160, 171]",,Widen your legs
108,"[47, 175, 180, 0, 154, 4, 160, 171]",,Widen your legs
109,"[48, 175, 180, 0, 154, 3, 160, 172]",,Widen your legs
110,"[48, 175, 180, 0, 154, 3, 160, 172]",,Widen your legs
111,"[49, 175, 180, 0, 154, 3, 160, 172]",,Widen your legs
112,"[49, 175, 180, 0, 154, 3, 160, 172]",,Widen your legs
113,"[49, 175, 180, 0, 154, 3, 160, 172]",,Widen your legs
114,"[50, 175, 180, 0, 154, 3, 159, 172]",,Widen your legs
115,"[50, 175, 180, 0, 154, 4, 159, 172]",,Widen your legs
116,"[50, 175, 180, 0, 154, 4, 159, 172]",,Widen your legs
117,"[51, 175, 180, 0, 154, 4, 159, 172]",,Widen your legs
118,"[51, 175, 180, 0, 154, 4, 159, 172]",,Widen your legs
119,"[52, 175, 180, 0, 154, 4, 159, 173]",,Widen your legs
120,"[52, 175, 180, 0, 154, 3, 159, 173]",,Widen your legs
121,"[53, 175, 180, 0, 154, 3, 160, 173]",,Widen your legs
122,"[53, 175, 180, 0, 155, 3, 160, 173]",,Widen your legs
123,"[53, 175, 180, 0, 155, 3, 160, 173]",,Widen your legs
124,"[53, 175, 180, 0, 155, 3, 161, 173]",,Widen your legs
125,"[53, 175, 180, 0, 155, 3, 161, 173]",,Widen your legs
126,"[53, 175, 180, 0, 155, 3, 161, 173]",,Widen your legs
127,"[53, 175, 180, 0, 155, 3, 161, 173]",,Widen your legs
128,"[53, 175, 180, 0, 155, 3, 161, 173]",,Widen your legs
129,"[54, 175, 180, 0, 155, 3, 161, 172]",,Widen your legs
130,"[54, 175, 180, 0, 155, 3, 160, 172]",,Widen your legs
131,"[54, 175, 180, 0, 155, 3, 160, 172]",,Widen your legs
132,"[54, 175, 180, 0, 155, 3, 160, 172]",,Widen your legs
133,"[54, 175, 179, 0, 155, 3, 160, 172]",,Widen your legs
