,Angles,Phase,Score
0,"[9, 179, 180, 0, 180, 11, 175, 171]","Down",100
1,"[8, 179, 180, 0, 180, 7, 177, 180]","Down",100
2,"[8, 179, 179, 0, 180, 7, 179, 179]","Down",100
3,"[8, 179, 179, 0, 180, 7, 179, 179]","Down",100
4,"[8, 179, 179, 0, 180, 8, 179, 178]","Down",100
5,"[8, 179, 179, 0, 180, 8, 178, 177]","Down",100
6,"[7, 179, 179, 0, 180, 8, 178, 177]","Down",100
7,"[7, 180, 180, 0, 179, 9, 178, 178]","Down",100
8,"[6, 179, 179, 0, 180, 9, 178, 178]","Down",100
9,"[4, 179, 179, 0, 180, 10, 178, 178]","Down",100
10,"[3, 179, 179, 0, 180, 10, 178, 178]","Down",100
11,"[4, 179, 178, 0, 179, 10, 178, 178]","Down",100
12,"[5, 180, 177, 0, 179, 9, 177, 179]","Down",100
13,"[5, 179, 176, 0, 178, 9, 176, 179]","Down",100
14,"[5, 179, 176, 0, 178, 11, 176, 176]","Down",100
15,"[6, 179, 176, 0, 179, 9, 176, 176]","Down",100
16,"[7, 179, 175, 0, 179, 8, 177, 176]","Down",100
17,"[9, 178, 172, 0, 179, 9, 176, 174]","Down",100
18,"[10, 176, 171, 0, 179, 10, 176, 174]","Null",90
19,"[11, 175, 168, 0, 180, 16, 60, 162]","Null",90
20,"[11, 176, 165, 0, 180, 14, 160, 164]","Null",90
21,"[10, 176, 161, 0, 180, 12, 162, 167]","Null",90
22,"[12, 176, 129, 0, 180, 12, 155, 168]","Null",90
23,"[15, 179, 123, 0, 180, 11, 164, 169]","Null",90
24,"[16, 173, 88, 0, 180, 7, 177, 176]","Null",90
25,"[17, 167, 80, 0, 179, 8, 178, 177]","Null",90
26,"[19, 161, 67, 0, 179, 11, 175, 176]","Null",90
27,"[27, 159, 36, 0, 179, 15, 118, 171]","Null",90
28,"[31, 161, 33, 0, 179, 10, 176, 178]","Null",90
29,"[35, 104, 32, 0, 179, 10, 179, 180]","Up",90
30,"[40, 72, 30, 0, 179, 10, 178, 180]","Up",90
31,"[41, 49, 29, 0, 179, 10, 178, 179]","Up",90
32,"[41, 37, 29, 0, 179, 10, 178, 179]","Up",90
33,"[45, 34, 26, 0, 179, 10, 178, 179]","Up",90
34,"[43, 32, 22, 0, 179, 10, 177, 179]","Up",90
35,"[44, 30, 19, 0, 179, 15, 156, 179]","Up",90
36,"[42, 29, 18, 0, 179, 12, 170, 178]","Up",100
37,"[43, 30, 18, 0, 180, 15, 140, 178]","Up",100
38,"[44, 29, 16, 0, 180, 16, 79, 177]","Up",100
39,"[46, 29, 17, 0, 180, 15, 84, 176]","Up",100
40,"[46, 29, 15, 0, 180, 13, 123, 176]","Up",100
41,"[46, 31, 15, 0, 179, 10, 174, 178]","Up",100
42,"[42, 36, 19, 0, 180, 11, 178, 179]","Up",100
43,"[42, 42, 19, 0, 180, 11, 180, 180]","Up",100
44,"[39, 64, 26, 0, 180, 11, 180, 179]","Up",100
